job_title,company_name,exprice,job_description
Cyber Security Expert_PAN India,Orange Business Services,12-17 Yrs,Hello AllWe are hiring for Cyber Security Expert- PAN INDIATotal exp.- 12 yrs- 17yrsJob...
Hiring For SME AWS Cloud Infrastructure_PAN India,Orange Business Services,8-13 Yrs,Hello AllWe are hiring for Subject Matter Expert - AWS- PAN INDIATotal Exp.- 8- 13yrsLo...
Hiring For AWS Architect- Anywhere in India,Orange Business Services,14-18 Yrs,"Design and implementation of AWS solutions: You should have experience in designing, im..."
Sr Proposal Manager (PPA & GCD),Thermo Fisher Scientific,8-10 Yrs,Requirements: . Education and Experience: . Bachelors degree or equivalent and relevant...
Sales Associate,Eqvimech,0-5 Yrs,Excellent pitcher of the product. Should have excellent convincing ability. Shall be a ...
Intern- Finance,Aegon Life,0-2 Yrs,Creation and Maintenance of Supplier and Employee Master in EAMbrace and Oracle Running...
Urgent Opening !!! Customer Experience - Voice - Mumbai,Angel One,0-4 Yrs,Have a good positive attitude-should be committed to the work Should have Laptop / PC a...
Urgent Opening !!! Freshers Can appli !!! Customer Experience - Voice,Angel One,0-2 Yrs,NISM VIII Certified Have a good positive attitude-should be committed to the work Shoul...
Medical Specialist-Teleconsultation,Intellihealth Solutions,0-5 Yrs, Job descriptionRole - Medical Specialist (Teleconsultation)Minimum Requirement: MBBS (...
Customer Support / Permanent WFH,Customer Support / Permanent WFH,0-5 Yrs,Preferred candidate profile . .
Virtual English Language Trainer/Teacher,PlanetSpark,0-1 Yrs,-Teaching students virtually using the PlanetSpark learning methods -Any Graduate or P ...
Hiring / Cutomer Support / WFH,Talent Stock,0-5 Yrs, About the Role We are looking for customer service executives for inbound and outbound...
Android Application Developer,Notuno Infotech,3-8 Yrs,Job descriptionKey Responsibilities:App Development: Lead the end-to-end development pr...
Software Development Engineer,Microland,2-7 Yrs,". Must have strong technical hands-on expertise in Installation, Configuration, Adminis..."
Sourcing & Procurement Lead,Support Star Corporate,7-12 Yrs,"Execute & carry out the sourcing process, ensure supplier compliance during on-boarding..."
"Software Engineer- Angular, Rdbms",CSG International,3-8 Yrs,Location-Anywhere in India. Notice period-Immediate to 30Days. Bachelors degree in Comp...
Electrical Engineer,SOBHA,3-7 Yrs," Design, control, and implement electrical systems and productsDevelop manufacturing pr..."
Strategy Development - SAS & SQL,Support Star Corporate,1-6 Yrs,Strong exp in SAS/SQL programing language. Experience in analytics with Strategy . Expe...
Software Development Manager- React Native,CSG International,8-13 Yrs,Expereince - 8+Yrs. Location- Remote / WFO/Hybrid. JD-. Bachelors degree in computer sc...
O365 Migration Engineer,Microland,3-7 Yrs,"Hands on experience inn migrating user / shared/room mailbox to O365 using BitTitan, cu..."
SAP ABAP HANA workflow,Tech Mahindra,5-10 Yrs,"Hi , we are looking for ABAP DEVELOPERSskills: ABAP HANA workflow IDOC webdynproInterst..."
Oracle Fusion Technical Consultant,Sutherland,7-12 Yrs,Must have strong business acumen and should be able to present and build technology sol...
Xamarin/Maui Developer,Lordist Infotech,2-3 Yrs,1+ years of experience in Xamarin.Forms development . Experience with .NET MAUI is a pl...
Senior Staff Engineer (Data Science),Nagarro,8-11 Yrs,"Strong Experience in Cloud architecture, Data Science, Python Experience in handling la..."
Cyber Security Analyst,Avery Dennison,1-4 Yrs, As a Cybersecurity Analyst you will provide consulting support to the business units...
Territory Sales Incharge - GT - Gulbarga,Brillon Consumer Products (Formerly known as SC Johnson),2-5 Yrs,Track availability of required manpower at DBs as per plan and monitor their performanc...
Senior Engineer (Database SQL),Nagarro,2-5 Yrs,. Good hands on experience of RDBMS concepts Have experience in SQL Server Integration ...
Business Development Executive,Bynebits Infotech Pvt. Ltd.,2-6 Yrs, We are seeking a highly motivated and results-driven Business Development Executive wi...
Openings_Databricks,Mphasis,4-9 Yrs,"Experience in working RDS, Redshift data warehouses. Additional expertise in IaaS using..."
Staff Engineer (Dotnet Fullstack),Nagarro,6-11 Yrs,"Strong working experience with architecture and development in C#, .NET core, .NET fram..."
Planning Engineer - MEP (Railway Project),Tata Projects,5-10 Yrs,Developing and maintaining projects master schedules and projects status for Client / S...
Manager - Strategic Partnerships,Browserstack,3-6 Yrs,"Unlimited Time Off to ensure our people invest in their wellbeing, to rest and rejuvena..."
Python + GCP developer,Infimetrics Info Solutions,4-9 Yrs,". Technical Skills : Excellent hands-on experience on Python Scripting, SQL, GCP BigQue..."
Marketing Executive,Vardhman Instruments And Chemical Goods,5-10 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Sales Executive,Vadilal,5-10 Yrs,Preferred candidate profile Good negotiation and problem-solving skills
PostgreSQL Developer,Infimetrics Info Solutions,4-9 Yrs,Bachelor of Computer Science / Information Technology / Computer Applications . Must be...
Java Backend Developer,Infimetrics Info Solutions,4-9 Yrs,Bachelor of Computer Science / Information Technology / Computer Applications . Must be...
Java & Struts Developer,Infimetrics Info Solutions,2-3 Yrs,Bachelor of Computer Science / Information Technology / Computer Applications . Must be...
Full Stack Dotnet Developer,Infimetrics Info Solutions,5-10 Yrs,"Experience with cloud platforms (eg, Azure) Familiarity with DevOps practices and tools..."
Area Business Manager - Womens Health,Abbott,2-5 Yrs,B Pharm / M Pharm / MSc would be preferredREQUIRED EXPERIENCE Required Qualification 4...
Scrum Master DevOps AWS || Immediate Joiner ||Gurugram,IGT Solutions,5-10 Yrs,Proficient with common Agile practices Experience as a ScrumMaster for AWS development ...
Client Lead-Digital Strategy,WPP Aunz,4-5 Yrs,"Minimum 10+ years in digital media and marketing space, with at least 4 -5 years hands ..."
Hiring Freelance Language Editors!,TNQ Technologies,1-6 Yrs,Experience in editing STM journals/ books
Account Executive,Browserstack,3-7 Yrs,"In this role, the Account Executive (Hybrid) will sell to global markets - so the candi..."
Associate principal engineer (Salesforce),Nagarro,9-14 Yrs,Excellent Salesforce programming skills (Apex and Visual force pages) and well versed w...
Fullstack Developer,S.S. Sharma Associates,3-8 Yrs,". 3+ years of Full Stack Development experience, using React, Node, Express and TypeScr..."
Java Backend Software Engineer,"Harnessing AI, they make dynamic, memorable, personalized interactions across channels a reality.",2-5 Yrs,"Seeking a Java Backend Software Engineer to design, develop, & maintain robust platform..."
Area sales Officer / Senior Area Sales Officer - Modern Trade,Suguna Foods,1-2 Yrs,Candidates must have Experience of handling Modern Trade in FMCG CompanyPreferred candi...
Automation Support Engineer,Browserstack,2-7 Yrs,"Unlimited Time Off to ensure our people invest in their wellbeing, to rest and rejuvena..."
Senior Application Security Engineer,Zynga,4-6 Yrs,"Competitive salary and bonus plan . Extended Health coverage, disability, critical illn..."
3D JavaScript Developer,S.S. Sharma Associates,4-9 Yrs,Roles and Responsibilities The RoleThe 3D Developer is responsible for creating/mainta...
Full Stack Developer,M/s. Fotistech Solutions,3-6 Yrs,"Minimum 3 years as a Full Stack Developer.Proficiency in Angular, TypeScript, HTML5, JS..."
CSI / Syteline Developer,Infimetrics Info Solutions,5-10 Yrs, As a CloudSuite / SyteLine Developer will work with our clients on the technical aspe...
Dotnet Analyst,Infimetrics Info Solutions,5-10 Yrs,The ability to understand Relational Data Base concepts and be proficient in writing St...
Store Manager- Rajasthan,Reliance Retail,8-12 Yrs,Candidates should be ready to relocate anywhere in Rajasthan including Tier 3-4 cities....
PHP Developer,Squinx Infotech,1-3 Yrs, A PHP Developer is responsible for creating and implementing an array of Web-based p...
Principal Consultant (Java Fullstack Architect),Nagarro,13-16 Yrs,"Must have technically hands-on experience with Java, Angular 10, Docker, Kubernetes, Po..."
Staff Engineer (AWS Cloud Engineer),Nagarro,6-9 Yrs,"Experience in communicating effectively with users, other technical teams, and manageme..."
Telemarketing || Exp required 6+ months || Permanent remote,Client of Sunrise Job Consultancy,1-4 Yrs,Make outbound calls to potential clients and healthcare professionals. Generate leads a...
Staff Engineer (Java Fullstack),Nagarro,6-11 Yrs,"Hands on experience on System designing, Event sourcing and message broker architecture..."
3D Developer,S.S. Sharma Associates,3-8 Yrs,. Bachelors degree Has experience in working with the following technologies is highly ...
Job Opportunity For Channel Sales LAS (LONG ARM Salesman)-Kolkata,Randstad,1-5 Yrs,"Any Undergraduate, MBA will have added advantageFresher or min 2 years of relevantJob R..."
Quality and Manufacturing Engineer,Rockwell Automation,3-7 Yrs,Ensures Tier 1 and Tier 2 manufacturing partners compliance with internal and external ...
Senior Data Engineer- Wells Fargo,Wells Fargo,8-13 Yrs,Job title : BigData Developer8+ years of total experience executing data projects with ...
3D visualiser,Design Abode Architects.,1-3 Yrs,Making simple but effective presentations in-house as requiredPreferred candidate profi...
Business Analyst - Principal Consultant,Nagarro,13-15 Yrs,REQUIREMENTS: . Must have Experienced with Agile Methodology Good with Client Interacti...
Staff Consultant - Business Analyst (Higher Education domain),Nagarro,6-9 Yrs,Experience in higher education domain (University / College) Excellent communication sk...
Job Opening For Construction Oil & Gas Company Based In OMAN,Al Haditha Petroleum Services - OMAN,6-10 Yrs,Minimum experience should be 8 to 10 years Qualification BE / B Tech Should have experi...
Senior Salesforce Business Analyst- US Shift,Our Client,3-5 Yrs,Willing to work in US Shift is a MUST
Angular Material,Hurix,2-4 Yrs," Extensive programming experience on Angular, HTML5, CSS3, SASS and or Materialize E..."
Tele Caller (B2C),Vimerse Infotech,2-6 Yrs,"Surveys and Feedback:They conduct surveys to gather feedback from customers, which can ..."
"Manager - SD (Corporate Accounting, Payroll, Intercompany)",Sutherland,10-15 Yrs,Willing to work in any shifts Excellent communication skills Should be able to communic...
Java Module Lead | Immediate Joiner,IGT Solutions,6-11 Yrs,"Experience designing, integrating and managing complex software solutions Experience wi..."
Senior Software Engineer - Front-end,Hurix,3-5 Yrs,"Should be able to identify, track and mitigate risks to the product Should be from a pr..."
Instructional Design Lead,Hurix,7-12 Yrs,Collaborate with Sales / KAM to get requirement brief for Proposals .
Sales Account Manager- Corporates,Adobe,5-10 Yrs,"Engage customers daily, preferably in person or via video6 Years experience in a simila..."
Growth Analyst,Hike,1-2 Yrs,"Skills & experience were looking for . You have a Bachelor s degree in Math, Statistics..."
Seo Expert,Synergy It Solutions Inc,5-10 Yrs,Job description and ResponsibilitiesSynergy IT Solutions Inc. is looking for an enthusi...
Quality Assurance Analyst (Manual and Automated),Aspia Infotech,2-4 Yrs,"Bachelor s degree in Computer Science, Information Technology, or a related fieldProven..."
Sales Executives,Tata AutoComp,3-6 Yrs,Preferred candidate profile . .
Specialist Presales Solution Consultant,NICE,8-11 Yrs,Helping facilitate a smooth transition from pre-sales to implementation by providing ad...
Talent Acquisition Sourcer,Avery Dennison,7-12 Yrs,"Proven 7+ years of relevant experience in talent acquisition, sourcing, preferably from..."
Associate Staff Engineer (Java Full Stack Developer),Nagarro,5-7 Yrs,"Hands on experience on System designing, Event sourcing and message broker architecture..."
Senior Analyst (Presales),Nagarro,3-5 Yrs,"Well versed with using MS Excel (including formulas), Word & PowerPoint with ability to..."
Staff Engineer (Dotnet Full Stack),Nagarro,6-9 Yrs,"Strong working experience with architecture and development in C#, .NET core, .NET fram..."
Associate Staff Engineer (Data Analyst),Nagarro,4-7 Yrs,Experience in SQL and manipulating large data sets in a databaseMust have experience in...
Senior Staff Engineer (Data Engineer/Data Governance),Nagarro,8-10 Yrs,"Bachelors degree in computer science, Information Management, or related fieldAdvanced ..."
ETL Technical Architect || Remote Work || Immediate Joiner,IGT Solutions,9-14 Yrs,"Bachelors or Masters degree in Computer Science, Information Technology, or a related f..."
Opening For Key Account Manager - Hospital Care Division,Lupin,5-10 Yrs,"Any Graduates (Preferably B Pharma, BSc) Overall 5-10 Years, minimum 2 years of experie..."
Software Development Engineer (NICE InContact CXOne),Teleperformance (TP),5-10 Yrs,Required Skillset / Experience: . Preferred Experience in NICE inContact CXOne (Omnicha...
Aqua - Sales officer,Cargill,3-8 Yrs,Role & responsibilities . Should have good exposure in Shrimp or fish sales in the mark...
Area Sales Manager For Acute Division For Sri Ganganagar location,Lupin,5-10 Yrs,(1) Graduate. (2) should be working in acute therapy. (3) Should be able to handle larg...
Area Sales Manager For Acute Division For Ahmedabad location,Lupin,5-10 Yrs,(1) Graduate. (2) should be working in acute therapy. (3) Should be able to handle larg...
Cyber Security Analyst,Synergy It Solutions Inc,3-8 Yrs,"Network, 3rd party applications and, Web applications, . Have knowledge of Penetration ..."
Google Ads Specialist,Boodle Web Mart Technology,1-3 Yrs,Experience : 1-3 Years. We have more than 12 years of experience in online marketing an...
Regional Sales Manager,Gopi Paper Mart (india),5-10 Yrs,And to ensure the highest possible profitability at the correct balance of product sale...
Opening For Area Sales Manager - Hospital Care Division,Lupin,5-10 Yrs,"Any Graduates (Preferably B Pharma, BSc) Should be covering multispecialty hospitals 10..."
Project Engineer - Max Aircon,MAX Aircon,1-3 Yrs," Prepare, schedule, coordinate, monitor and control the assigned engineering projects ..."
Quantitative Primary Researcher - Manager/ Sr Manager - WFH (Remote),Kantar,3-8 Yrs,"Must be very strong in excel & numerical ability Good attention to detail, strong organ..."
Senior Data Engineers,Freshersworld.com,7-10 Yrs,"Any experience with MFG BI, DWH and Datalake implementation would be a bonus. . Experie..."
Senior Engineer / Asst Manager - Service - Pumps and Hydrocyclones,FLSmidth Private Limited,8-13 Yrs,"Knowledge of good mechanical maintenance practicesHands on experience in installation, ..."
Lead Software Engineer - Sustenance Engineering,Icertis,7-10 Yrs, Skills and Qualification 7-10 years of experience in an Support or Sustaining engine...
Online German Teacher that speaks Bengali,Global Lt,1-4 Yrs,Minimum of two years of experience
React Native Developer,Softseekers Infotech,2-5 Yrs, 1) Create UI/UX using React Native 2) Create GraphQL APIs with NodeJS 3) Integra...
MERN Developer,Softseekers Infotech,2-5 Yrs," 1) Create website UI using HTML, CSS, Javascript, ReactJS 2) Create GraphQL APIs w..."
Associate Principal Engineer (Python Architect),Nagarro,10-15 Yrs,"Experience designing, building and maintaining microservices and REST APIs using framew..."
Partner Enablement Manager,Icertis,10-20 Yrs,"Effectively manage our partners in their journey with Icertis, as they get onboarded an..."
Project Coordinator And Tester,Aspia Infotech,1-6 Yrs,"Requirements: . Bachelors degree in Computer Science, Information Technology, or a rela..."
"Solutions Lead , EXP +",Sykes Digital Services,2-8 Yrs,"Previous experience as a solutions architect, sales or account manager in the CX industry"
Campaign Manager- Assistant Manager - Lending,Paytm,3-6 Yrs,"Well versed with Clever Tap product, dashboarding & data schema . Well versed with Look..."
Product Manager (IT Applications),Isha Foundation,7-10 Yrs,. Educational Qualification : Graduate Solid technical background with understanding an...
Sr .Net Developer,Hitachi Ltd.,6-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Fullstack Engineer,Vimerse Infotech,1-7 Yrs,"Performing system testing, debugging, and troubleshooting to ensure the quality, perfor..."
Sr.Business Analyst,Tata Nexarc,2-5 Yrs,Tier 1 B-school or Engineering institute with overall 5-8 years of experience . At leas...
Associate Delivery Manager (Platforms),Tata Nexarc,4-7 Yrs,Experience in B2B space preferable . Educational Background . MBA with BTech background...
Business Development Executive,True Pace Consulting,1-6 Yrs,creatively to identify new business opportunities. . ) Proficiency in data maintaining ...
Architect - Database - Product Engineering,Icertis,12-14 Yrs,Required Skills . - A SQL Server and Azure SQL expert - Database administrator skills i...
Supervisor Modern Trade,Soothe Healthcare,3-5 Yrs, Roles Responsibilities: 1. The Supervisor is responsible for the primary secon...
Zonal Sales Manager,Soothe Healthcare,6-9 Yrs, Roles Responsibilities: 1. Enhance Productivity of the team 2. Candidates shoul...
DGE & Sr . Demand Generation Executives,Ellora Infotech,1-2 Yrs,Experience with CRM software (e.gProven work experience as a Business Development Repre...
Associate Principal Consultant (Presales),Nagarro,9-13 Yrs, We're Nagarro. We are a Digital Product Engineering company that is scaling in a big w...
Presales Executive,Freshersworld.com,1-5 Yrs, About the jobThis is an opportunity to work directly with a European EdTech startup ba...
Backend Engineer,Emurgo,5-10 Yrs," Discuss, analyze, and understand new feature requirements with tech-lead and PM ..."
Azure .NET Developer,Infimetrics Info Solutions,2-4 Yrs,"Experience with software development, debugging, and testing Good problem-solving and a..."
Online Lithuanian teacher,Global Lt,1-4 Yrs,Minimum of two years experience . .
Business Analyst,Capco,7-12 Yrs,Technical skills Required: . . Strong BA in Agile Must have worked with Senior Stakehol...
Sr. Manager,Hitachi Ltd.,7-9 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Data Architect,Hitachi Ltd.,10-12 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Assistant Manager,Philips,7-12 Yrs," Develops, maintains and improves relations with existing and potential customers in ..."
REGIONAL ADMIN MANAGER,Muthoot Finance,5-12 Yrs," The overall Administartion of the Regional Office, in the absence of the Region..."
Data Architect,Capco,2-7 Yrs," As a member of our Data Team, you will work across Capco s different domains and solu..."
Technical Project Manager,Hitachi Ltd.,10-20 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Global Windchill Solution Architect / Deployment Manager,Hitachi Ltd.,8-13 Yrs,. At least eight years of experience as a project manager / solution architect in the P...
SDET Automation Engineer,Hitachi Ltd.,6-11 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Java Backend Developer,Hitachi Ltd.,5-10 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Senior Manager Localization,Tata Motors Finance,5-10 Yrs,"Able to understand bottle necks, work with PSC to ensure phase wise capacity ramp up pl..."
Senior Manager : SCM Sanand (TPEM),Tata Motors Finance,5-8 Yrs,Bachelors in Engineering (mechanical / automobile) . Work Experience
Customer Service Professional,Contactpoint 360,3-6 Yrs,Ability to pass a background check - Government valid photo IDs required At least one s...
Specialist - Software Engineering,Mindtree,8-10 Yrs, The associate needs to pass the specific certification: Mandatory Certificate: Indust...
UX Specialist,Hitachi Ltd.,8-13 Yrs,Job Summary: . Design and user advocacy are at the forefront of everything we do . A UX...
Data Engineer,Chargebee Inc,2-5 Yrs, Data Engineer works on all kinds of data projects Develops and owns data pipelines/...
Java & AWS Developer,Hitachi Ltd.,5-11 Yrs," Bachelors or Masters degree in Computer Science, Software Engineering, or related fie..."
Technical Project Manager,Hitachi Ltd.,7-9 Yrs,The ideal candidate should have below skills: . Project Management . Resource Fulfilment .
SAP GRC Security,Supro Info Solutions Private Limited,10-15 Yrs,Must have 10-5 years of overall experience Must have 3-5 years of SAP Security and / o...
Dot Net Core Developer,Infimetrics Info Solutions,2-4 Yrs,"Bachelor s degree in Computer Science, Information Systems or related field Experience ..."
AWS Cloud Architect,Cloudaims Infotech Llp,10-12 Yrs,"The Individual should be passionate about technology, experienced in developing and man..."
Snowflake Data Engineer,Cloudaims Infotech Llp,2-5 Yrs, Experienced Data Warehouse and Database developer with 5+ years of experience in rela...
C# Developer,Hipaas Infotech,2-3 Yrs,". . . . . . . . . . . . . . . Design, build, and maintain efficient and reliable C# cod..."
"Senior Analyst (Responsive Web design, Animation)",Nagarro,1-6 Yrs,Optimize application for maximum speed and scalability Assure that all user input is va...
Executive - Sales ( Middle East ),MALABAR GOLD & DIAMONDS,1-2 Yrs,The candidate should be graduated in any subject and have a minimum of 1-2 years of exp...
Central Merchandiser - Ethnix,MALABAR GOLD & DIAMONDS,5-6 Yrs,Good analytical skills
Central Merchandiser & NPI - Generic Products,MALABAR GOLD & DIAMONDS,8-10 Yrs, - Create and seek approval of unique design codes. - Interface and coordinate with d...
JUNIOR EXECUTIVE - SALES & SERVICE,MALABAR GOLD & DIAMONDS,1-2 Yrs,Skills Required : - Ability to sell
Central Merchandiser & NPI - Era,MALABAR GOLD & DIAMONDS,8-10 Yrs, Implement the merchandising strategy and NPI for Era Collections(exclusive collectio...
Central Merchandiser & NPI - Diamond,MALABAR GOLD & DIAMONDS,8-10 Yrs, Implement the merchandising strategy and NPI for Diamond Collections inalignment with...
Central Merchandiser & NPI - Precia,MALABAR GOLD & DIAMONDS,8-10 Yrs, Implement the merchandising strategy and NPI for Precia Collections (a graceful colle...
Campaign Management - Team Lead - UPI,Paytm,2-4 Yrs,"Well versed with Clever Tap product, dashboarding data schema . Well versed with Looker..."
SAP BPC Consultant,Supro Info Solutions Private Limited,4-6 Yrs,BE / MBA/BCOM / MCA/ BCA/ BSc (IT) or equivalent with more than 4 years in SAP . Should...
Functional Consultant - Admin Services,Icertis,3-6 Yrs,Willingness to work in rotational shifts . Should have completed one full / partial imp...
BRANCH MANAGER,Muthoot Finance,3-9 Yrs," Responsible for overall Branch operations and profitability of the branch, Handl..."
Data Science - Senior Data Scientist,Paytm,4-9 Yrs,. Fine tune the learnt models for downstream applications related to better understandi...
Assistant Manager - Brand Solutions,Paytm,5-10 Yrs,5+ years conceptualising and / or content strategy experience . Experience and passion ...
BUSINESS DEVELOPMENT MANAGER,Sarvajith Infotech,5-12 Yrs,"Cold calling experience. Proficient in Word, Excel, Outlook, and PowerPoint. Ecommerce ..."
UI Developer,Hitachi Ltd.,5-10 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Release Team - Senior SDET - QA Automation,Hitachi Ltd.,4-6 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
React Lead,Hitachi Ltd.,6-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Net+React Full Stack Senior Developer (Server UI),Hitachi Ltd.,8-11 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
JS & Angular Developer,Hitachi Ltd.,4-6 Yrs," Minimum 4+ years of relevant experience in AngularJS, Java script and TypeScript deve..."
Fullstack Engineer,Hitachi Ltd.,5-7 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Fullstack Engineer,Hitachi Ltd.,2-4 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Frontend Lead - ReactJs,Hitachi Ltd.,6-9 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Front End UI Developer,Hitachi Ltd.,2-4 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Jitterbit Team Lead,Hitachi Ltd.,6-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Engineering React Lead,Hitachi Ltd.,5-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Cloud Platform Engineer,Hitachi Ltd.,5-7 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Product Owner,Hitachi Ltd.,5-7 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
PHP developer,EMR Infotech,1-4 Yrs,"Candidates should have gounderstanding of open source web technologies, scripting langu..."
Full stack Developer,Agility,3-6 Yrs,"Web Development Experience in ASP.NET MVC, ASP.NET Web API, HTML, CSS, JavaScript, Boot..."
IT Infrastructure Manager,US Company with Decades of Expertise in the US Market,7-12 Yrs,Looking for an IT Infrastructure Manager to operate remotely from a home office in Indi...
UX Engineer ||Application services,Hitachi Ltd.,2-5 Yrs,A UX Designer envisions and crafts the experience that would make the users life easy a...
Translator English To Kannada,Blueink Interactive,3-4 Yrs,We are looking for several English to Kannada Full Time Freelance Translators to join o...
Senior Functional Consultant,Icertis,6-9 Yrs,Candidate must possess an engineering degree from a reputed institute Drive requirement...
Google Apps Script Developer,United Nations Office for Project Services - UNOPS,3-8 Yrs," Nature of Job: Remote Functional Responsibilities In 2018, UNOPS initiated a d..."
"Senior Trainer, Online Education",Academy Of Art University,5-10 Yrs,Prior experience working with online faculty and students is preferredPossess extensive...
OEM Alliances - Senior Manager,Paytm,5-7 Yrs,Willingness to experiment and improve Channel management . . . . . . Education: Graduat...
SAP Functional Specialist,Hitachi Ltd.,8-10 Yrs,". Should have worked with associated standard workflows across MM, QM and PM . Graduate..."
Core Banking Integrations Specialist,Hitachi Ltd.,2-7 Yrs,"Your deliverables as a Senior Business Consultant (Integrations) will include, but are ..."
Cloud Technical Lead,Hitachi Ltd.,5-8 Yrs,"Work experience in creating, configuring and managing AWS services e.gRequirements: . 5..."
Business SME (BA/PO),Hitachi Ltd.,7-10 Yrs, Core banking domain experience Data and application migration management Integration...
Java Developer,Gupshup Technology,3-7 Yrs,Must have exposure to agile developmentExperience of creating and maintaining system do...
Technical Product Manager,Hipaas Infotech,4-5 Yrs,"The Technical product manager should own and manage the technical architecture, design ..."
React JS Developer,Hipaas Infotech,3-4 Yrs,"Expertise in React.js . HTML, CSS, JavaScript, Bootstrap - Proficient . Solid understan..."
Python Developer,Hipaas Infotech,2-4 Yrs, We are looking for a Python Developer to join our delivery team and help us develop...
Partner Alliances Manager,Hipaas Infotech,5-8 Yrs,. We are looking for someone who has strong experience in healthcare space and has help...
HiPaaS Implementation / Delivery Lead,Hipaas Infotech,4-5 Yrs,"The lead should own and manage the entire implementation lifecycle, architecture, desig..."
Healthcare Functional Analyst,Hipaas Infotech,1-4 Yrs,The analyst should work with various teams and build product documentation and product ...
Functional Healthcare Product Manger,Hipaas Infotech,4-5 Yrs,". . . Strong understanding of competition, market challenges, marketing plan, tactical ..."
DevOps Engineer,Hipaas Infotech,2-5 Yrs,". . . . . - Solid Linux system administration, troubleshooting and performance analysis..."
Boomi Developer,Hipaas Infotech,1-5 Yrs,"Dell Boomi Professional Certification is preferred . Experience in Real time, Batch and..."
Java Developer,Hitachi Ltd.,1-2 Yrs,"SQL experience, writing medium to complex queries ( MySQL, Postgres, Redshift etc) Bach..."
"Senior Manager - Information Technology,Pan India",Tata Chemicals,2-4 Yrs, interact with business users to understand priorities and pain point...
Java Flink Sr. Developer,Hitachi Ltd.,6-8 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Cluster Branch Manager,Muthoot Finance,3-7 Yrs, Responsible for achieving Cross Selling products TGT v/s ACT of the region and maint...
Product Specialist and Trainer,Guest Tek,2-6 Yrs," Creating, Updating, Resolving or Escalating incidents according to company policies a..."
Technical Account Manager,Icertis,10-15 Yrs," Overall 10+ years of experience 5+ years of experience in a Support, App Develop..."
C# Developer,Accolite Software India Pvt Ltd,2-6 Yrs, Strong C# skills. Experience developing services or APIs. Any knowledge or experi...
Business Analyst - Senior Associate,Paytm,1-3 Yrs,1 -2 years of experience in business analysis or a related field. . Superpowers/ Skills...
HR Operations & Delivery Analyst I,Conduent,3-7 Yrs,Excellent communication skills requiredShould be able to exchange information and instr...
Counselor/Trainer,Vimerse Infotech,2-5 Yrs,"To be considered for this role, candidates must meet the following qualifications: . Mi..."
Marketing Executive - Trivandrum,Varun Beverages Limited,1-5 Yrs, Handling the core marketing BTL activity of assigned Area. Handling New Product Launch...
Mechanical Engineer - Calicut,Varun Beverages Limited,1-5 Yrs,RefrigerationCoolersChillersService EngineeringMaintananceVendor Management Team Handling
Principal Engineer (Informatica MDM),Nagarro,12-16 Yrs,"REQUIREMENT: . Own and aggressively drive forward Informatica MDM, Data Governance, Big..."
Java Developer,Hitachi Ltd.,3-5 Yrs,"Work-Life Balance: GlobalLogic prioritizes work-life balance, which is why we offer fle..."
Field Service Engineer,Philips,2-5 Yrs,". To succeed in this role, you ll need a customer-first attitude and the following . BE..."
Site Engineer,R K Constructions (R K Groups),2-6 Yrs,Preferred candidate profile . Project Engineer / Senior site engineer - Who have experi...
SENIOR SAP ABAP HR,Supro Info Solutions Private Limited,3-6 Yrs,"Expert in Reports using ALV Grids, User Exists and BADI s, DialogProgramming, Smart for..."
System Integrator - BSS Systems,Accolite Software India Pvt Ltd,5-10 Yrs,"Excellent Team Spirit, co-operative with mentoring capabilities. . . . Technical Skills..."
Business Development Executive / Key Account Manager (B2B),Vimerse Infotech,1-5 Yrs,"The ideal candidate should have strong interpersonal and communication skills, a proven..."
